#(threads),time taken(in ns)
700,57480480
701,56427361
702,56471495
703,60164975
704,56583240
705,58502561
706,56021125
707,60207100
708,57905252
709,57229862
710,59514245
711,57203812
712,58632434
713,55427694
714,62866415
715,58131545
716,57548406
717,57239918
718,60407217
719,56455592
720,58591408
721,57103914
722,58992753
723,61546692
724,57113348
725,58391333
726,60908641
727,57116947
728,58732494
729,62486143
730,58239691
731,58894816
732,56162279
733,57780389
734,61082488
735,60079309
736,61076059
737,57546783
738,58186593
739,59332203
740,57115343
741,57961791
742,59598443
743,57558728
744,58417232
745,56023892
746,59252547
747,59384311
748,62066840
749,60507796
750,58742161
751,59284666
752,60166663
753,58563940
754,59660597
755,57559618
756,58650111
757,58367353
758,58533739
759,56549818
760,58706539
761,58354762
762,59646342
763,58274206
764,60603490
765,58071903
766,57049435
767,60984444
768,59706037
769,58342611
770,55977986
771,58066702
772,59413961
773,57871319
774,60496415
775,60228610
776,56137878
777,58705765
778,59442480
779,60777453
780,59197783
781,59046274
782,57273335
783,58618533
784,58511150
785,61712651
786,57245619
787,56211871
788,59318642
789,58278767
790,58924949
791,58734636
792,62284639
793,58024831
794,57215549
795,63183949
796,61060223
797,58817368
798,59849206
799,60046617
800,60483144
801,63510839
802,62643756
803,58755372
804,58575808
805,59561766
806,58177552
807,60127273
808,60903697
809,60291497
810,58394163
811,58137209
812,58905823
813,60104090
814,59073070
815,58062572
816,59379162
817,58339184
818,57969841
819,58221528
820,60021106
821,61602287
822,58136374
823,60867569
824,59781788
825,56744200
826,61800639
827,58684767
828,60092621
829,59700973
830,61554810
831,59971514
832,60750139
833,60101758
834,58847013
835,57385116
836,59621050
837,57670906
838,59507723
839,58907369
840,60254007
841,62407272
842,60627761
843,60338376
844,59388540
845,60548832
846,61316962
847,59819956
848,58412422
849,61523605
850,60609381
851,59184278
852,62707928
853,58369252
854,60592633
855,61067280
856,61292840
857,60428553
858,61125111
859,62681322
860,61892811
861,58076640
862,59769037
863,58948567
864,59187375
865,62552516
866,60673430
867,60422299
868,64871705
869,58866444
870,57773034
871,60282298
872,59088602
873,59240284
874,62985193
875,60433643
876,61609780
877,62183059
878,60722607
879,60945175
880,59932894
881,60434988
882,61119779
883,60853682
884,59154895
885,57967959
886,62800663
887,60721554
888,61828184
889,61602097
890,61609168
891,63398228
892,61307915
893,61940973
894,63349554
895,59670798
896,61246268
897,60780202
898,59724163
899,61305159
900,60019345
901,60035348
902,62195201
903,62081470
904,62561705
905,61255713
906,60820293
907,61683174
908,58860671
909,63444652
910,59773148
911,60061388
912,62083613
913,61605368
914,61570558
915,60224038
916,60661665
917,61293350
918,62697825
919,60282341
920,62993544
921,60400408
922,60680944
923,61907060
924,59093900
925,60776271
926,60585430
927,61192939
928,60713051
929,61019395
930,62148285
931,62033669
932,64179663
933,64675128
934,62936983
935,62591389
936,62012348
937,62068920
938,61724963
939,64106361
940,62630843
941,60818437
942,63197666
943,62907954
944,64243180
945,61358248
946,61372493
947,61161726
948,63674881
949,59882157
950,61459568
951,63666179
952,61825303
953,61700385
954,61278095
955,67620346
956,63309615
957,61961909
958,64560453
959,61605700
960,63531188
961,60320180
962,68514935
963,60173914
964,62491365
965,62483004
966,62298078
967,62582881
968,62402915
969,60102394
970,62483211
971,61643744
972,60612799
973,64155283
974,61389738
975,62102606
976,62084980
977,62885048
978,64067722
979,61071811
980,64216874
981,61920605
982,63736718
983,61532545
984,60776052
985,61369616
986,62397975
987,62182902
988,63214509
989,60721753
990,65307554
991,62163965
992,61321721
993,62772912
994,62269054
995,62726827
996,66853879
997,61769309
998,65181741
999,59298882
1000,58814962
1001,57137358
1002,56971030
1003,55826240
1004,58226078
1005,56261440
1006,56689795
1007,59754018
1008,56388154
1009,57618975
1010,56416094
1011,54375312
1012,55688104
1013,56764340
1014,56368940
1015,57771005
1016,56428775
1017,57624173
1018,58696002
1019,57545431
1020,56633282
1021,56042686
1022,57868502
1023,56850900
1024,55614227
1025,58897893
1026,57254108
1027,57552922
1028,57677781
1029,57816357
1030,57733015
1031,56787997
1032,58294184
1033,55528285
1034,56498059
1035,56465032
1036,55619176
1037,57902963
1038,57132007
1039,57749028
1040,55871974
1041,56762651
1042,58197003
1043,57491373
1044,58666190
1045,57906590
1046,55883138
1047,57932863
1048,57017104
1049,56848967
1050,60014774
1051,58237346
1052,57416100
1053,57444328
1054,61573282
1055,55758512
1056,55347137
1057,56387240
1058,56632814
1059,58033726
1060,59550421
1061,58681105
1062,56610167
1063,57891251
1064,55412832
1065,56285167
1066,56133256
1067,57475135
1068,56705840
1069,56557096
1070,60433836
1071,59021198
1072,57626230
1073,56645612
1074,59145539
1075,56878712
1076,59761249
1077,56388472
1078,59131156
1079,57515151
1080,59712198
1081,56412629
1082,60277122
1083,58444603
1084,56725832
1085,58342362
1086,58106090
1087,58695455
1088,58132193
1089,57886101
1090,58143675
1091,57286411
1092,58065399
1093,57436697
1094,60969836
1095,58072338
1096,58965301
1097,57555313
1098,58256694
1099,55524735
1100,60959978
1101,59337109
1102,57484850
1103,57719667
1104,58123947
1105,59341889
1106,58466798
1107,59612957
1108,58730310
1109,59216416
1110,59538691
1111,57878328
1112,60222926
1113,58625382
1114,58080612
1115,59274862
1116,61367665
1117,58598470
1118,59019372
1119,58892716
1120,59131124
1121,60077185
1122,58650288
1123,59372177
1124,60019831
1125,59310299
1126,57789580
1127,59003886
1128,60206288
1129,60199749
1130,59466118
1131,59014722
1132,59886560
1133,58008034
1134,58983176
1135,59199763
1136,59129619
1137,59635117
1138,57730380
1139,58620653
1140,58720628
1141,60058778
1142,58690946
1143,60717419
1144,59986244
1145,58563096
1146,58188030
1147,60978857
1148,60011217
1149,59290561
1150,57833860
1151,60407079
1152,58980245
1153,59049410
1154,59596358
1155,59370083
1156,59691634
