Size,Time
50,855645
50,824253
50,837172
50,818650
50,800937
50,1030727
50,996593
50,883193
50,837054
50,911332
50,878218
50,1836700
50,865059
50,957568
50,1697510
50,809985
50,909059
50,809122
50,958805
50,887704
50,794964
50,938698
50,867976
50,822857
50,871061
50,882688
50,901694
50,850155
50,859206
50,932352
50,917305
50,817462
50,828496
50,852750
50,839231
50,798793
50,875643
50,887644
50,837635
50,816148
50,856253
50,1022415
50,1167688
50,896600
50,855503
50,820264
50,1150136
50,869232
50,873479
50,876874
50,934026
50,833751
50,859775
50,854165
50,945963
50,862302
50,904766
50,784993
50,892536
50,878761
50,906135
50,889729
50,812633
50,823093
50,898690
50,848795
50,897924
50,878591
50,884542
50,887478
50,845682
50,958081
50,846505
50,870108
50,827396
50,874915
50,1118995
50,921347
50,867120
50,875557
50,966606
50,900302
50,862603
50,984915
50,911143
50,863996
50,861655
50,946597
50,865606
50,1061171
50,884631
50,866880
50,912379
50,967286
50,934076
50,870056
50,923966
50,884331
50,899660
50,892935
50,869043
50,875825
50,896108
50,937745
50,909047
50,1038953
50,907858
50,873415
50,941181
50,988513
50,880605
50,914569
50,907527
50,886818
50,1160188
50,992562
50,867299
50,913046
50,1036877
50,830078
50,875367
50,949324
50,1697360
50,962890
50,1063701
50,937740
50,1064238
50,976548
50,901071
50,877659
50,949410
50,898294
50,1186797
50,933167
50,903213
50,925164
50,1151594
50,996069
50,1021932
50,962750
50,936735
50,951328
50,910920
50,928388
50,1192011
50,1105044
50,943830
50,980980
50,863685
50,918615
50,1052106
50,1043875
50,867768
50,872712
50,895513
50,934379
50,956630
50,955580
50,963557
50,945600
50,970226
50,934218
50,933538
50,991348
50,913649
50,956736
50,939278
50,914618
50,972029
50,961258
50,926173
50,949330
50,920527
50,1039861
50,941265
50,933702
50,938132
50,944464
50,1150082
50,1035296
50,1000450
50,1455728
50,911408
50,934145
50,965644
50,958352
50,1004947
50,935180
50,956044
50,939870
50,962630
50,954343
50,1032163
50,994117
50,969950
50,1024161
50,951953
50,975229
50,1013687
50,926987
50,991400
50,948045
50,949399
50,1065777
50,960478
50,1059227
50,991345
50,921977
50,932386
50,960157
50,926482
50,976647
50,924415
50,819085
50,972038
50,937818
50,957437
50,942000
50,1107824
50,899897
50,939636
50,978174
50,996994
50,942831
50,950705
50,946898
50,1197220
50,1198645
50,1240323
50,981004
50,1161674
50,978317
50,966290
50,950514
50,1013642
50,998195
50,972780
50,1010197
50,1001015
50,1196920
50,931918
50,1053847
50,942490
50,1248815
50,1027522
50,942151
50,1017107
50,1096902
50,975589
50,1004784
50,1262636
50,993178
50,1220139
50,1023047
50,1000018
50,894439
50,1072521
50,985856
50,1021361
50,1005503
50,996095
50,1074870
50,1208509
50,1156546
50,982091
50,1000380
50,1022972
50,927229
50,995329
50,1027083
50,970064
50,1012001
50,1194442
50,1005854
50,1137636
50,1078788
50,1136845
50,1003321
50,1018068
50,1014309
50,1016808
50,1009932
50,1122150
50,1033913
50,1013072
50,972021
50,1067592
50,1031659
50,1277774
50,1035127
50,996132
50,1095915
50,1082073
50,1084286
50,1030366
50,993340
50,1040653
