12,9,47078538
13,9,48200590
14,9,46830603
15,9,45171126
16,9,47711524
17,9,45676752
18,9,50897261
19,9,47586750
20,9,49174495
21,9,49471281
22,9,48079864
23,9,49254023
24,9,48659630
25,9,53211777
26,9,48760849
27,9,46895545
28,9,41895941
29,9,42032005
30,9,43933116
40,9,44078680
50,9,50359415
60,9,48947991
70,9,48641917
80,9,47290336
90,9,50377459
100,9,45140889
200,9,44605757
300,9,51277635
400,9,40520464
500,9,38919215
600,9,41267212
700,9,44912021
800,9,49538457
900,9,45416867
1000,9,43508251
2000,9,54177527
1,10,53359184
2,10,45695478
3,10,48720204
4,10,44002466
5,10,43329779
6,10,45609397
7,10,47877256
8,10,46991257
9,10,45421025
10,10,47663015
11,10,46187050
12,10,47330442
13,10,43900327
14,10,44783841
15,10,46813103
16,10,56589237
17,10,46366246
18,10,46682628
19,10,46019626
20,10,49159719
21,10,57559594
22,10,48767243
23,10,49561261
24,10,52967071
25,10,47764656
26,10,44068783
27,10,55215934
28,10,44210569
29,10,48161039
30,10,44201761
40,10,46960590
50,10,47712207
60,10,43516539
70,10,43644788
80,10,52096220
90,10,44038797
100,10,45836905
200,10,45234357
300,10,44348678
400,10,46052990
500,10,49176681
600,10,46002175
700,10,44446951
800,10,48109583
900,10,50441811
1000,10,54110375
2000,10,48556832
1,11,52991700
2,11,48573682
3,11,46901972
4,11,45699229
5,11,45417500
6,11,47806024
7,11,46502153
8,11,50427155
9,11,40578856
10,11,45221994
11,11,48157493
12,11,42527727
13,11,43941195
14,11,45727862
15,11,47569742
16,11,44225598
17,11,49056778
18,11,44133185
19,11,43642997
20,11,44272897
21,11,49287140
22,11,40660279
23,11,45338995
24,11,50599218
25,11,43126670
26,11,42862575
27,11,41267006
28,11,39170629
29,11,57091821
30,11,43854132
40,11,45967452
50,11,42584143
60,11,46416683
70,11,44999578
80,11,46014480
90,11,55120859
100,11,42705080
200,11,43681439
300,11,55617869
400,11,51256770
500,11,46076768
600,11,44063666
700,11,46143111
800,11,45092924
900,11,53763347
1000,11,46250913
2000,11,46772582
1,12,50044180
2,12,41803482
3,12,44753087
4,12,40216009
5,12,45371726
6,12,43971573
7,12,51749594
8,12,44383064
9,12,46240344
10,12,48719528
11,12,44001239
12,12,46452622
13,12,48407754
14,12,44920671
15,12,43556687
16,12,48196389
17,12,49893087
18,12,51520055
19,12,49672234
20,12,47652020
21,12,43996270
22,12,50302084
23,12,43619405
24,12,50279862
25,12,42488436
26,12,43944804
27,12,43565855
