Size,Time
10,14204834
10,13630718
10,14482365
10,22037510
10,13948691
10,22422667
10,21629777
10,23066820
10,20919520
10,11515025
10,16725560
10,14185266
10,21890487
10,21839449
10,22087851
10,21888250
10,22354629
10,22258929
10,11447882
10,17795020
10,16119904
10,14825927
10,18246936
10,12777175
10,14897380
10,22361197
10,21678013
10,21811878
10,46606119
10,246465420
10,1836420966
10,9104056
10,9576214
10,6027157
10,13660939
10,11425465
10,6616484
10,9576044
10,6021950
10,5855251
10,6121717
10,11732738
10,5777256
10,9973460
10,7102027
10,5791208
10,9637781
10,10968173
10,6336883
10,6234616
10,11524100
10,6289949
10,5822796
10,6786766
10,9423604
10,6696901
10,5737441
10,6046469
10,7423179
10,7139063
10,6402243
10,6089867
10,6685821
10,7053702
10,6337843
10,7294538
10,6227002
10,9138818
10,6552658
10,7988048
10,7227099
10,6252132
10,6722065
10,7371561
10,6330861
10,6529803
10,6756560
10,9151529
10,7502292
10,6219971
10,6792519
10,17022871
10,6121999
10,6669989
10,11260896
10,6795704
10,6232953
10,6995504
10,9113724
10,7638433
10,6248487
10,6941994
10,7604794
10,7567749
10,6207341
10,7305111
10,10330003
10,6297895
10,6977149
10,10865429
10,7052594
10,7165792
10,7516250
10,6414090
10,6572726
10,6911734
10,7555954
10,6535757
10,6756264
10,7730182
10,9590854
10,12012906
10,6722921
10,6269387
10,6576638
10,7233273
10,6833395
10,6418857
10,7457534
10,16431248
10,6341186
10,6652783
10,11635835
10,6656730
10,6256465
10,6568379
10,9715123
10,6448485
10,6317104
10,6550091
10,9610235
10,7484030
10,6120194
10,6684046
10,9646494
10,6559464
10,6388255
10,6536705
10,7607886
10,6839082
10,6440890
10,6779436
10,9306451
10,8312125
10,6123888
10,6493350
10,11823232
10,6244687
10,6103399
10,6516331
10,7825002
10,6719520
10,6436922
10,6515993
10,9570932
10,7856282
10,6572390
10,6582105
10,9495709
10,6963050
10,6277869
10,7521077
10,9668585
10,6194685
10,6373432
10,6395935
10,7623902
10,7121826
10,6229266
10,6607567
10,12696638
10,7085566
10,6408560
10,9936035
10,10714978
10,10827358
10,7224221
10,6719674
10,7177856
10,7570418
10,7086584
10,7405384
10,6819074
10,6381467
10,8560080
10,7483570
10,8846717
10,7565586
10,6354918
10,6627198
10,11728685
10,6683717
10,7078597
10,6562149
10,8396325
10,7000428
10,6244402
10,6658376
10,8872818
10,6906879
10,6322631
10,7990946
10,8505128
10,6661755
10,6261761
10,6491370
10,11201863
10,7073689
10,6351288
10,6639811
10,7682840
10,6621839
10,6361238
10,6982252
10,7359792
10,7562950
10,6218944
10,6842381
10,11671116
10,6508598
10,6327499
10,7400452
10,7304334
10,9528150
10,6329685
10,6555517
10,8083939
10,6349831
10,6316235
10,7583045
10,9447447
10,7119202
10,6380086
10,7453846
10,11223663
10,6341870
10,6485213
10,6963074
10,9883256
10,6298293
10,6442775
10,7036309
10,7595513
10,6409170
10,7548309
10,6741991
10,6147007
10,6618431
10,10026935
10,6474765
10,6290027
10,6857076
10,7325030
10,6605132
10,10178016
10,6903885
10,8930983
10,6647328
10,11089319
10,6823473
10,7114807
10,6627519
10,7047808
10,6093642
10,6490606
10,9532749
10,7722855
10,6436563
10,7657864
10,11666575
10,6555336
10,6595395
10,7322495
10,7261138
10,7382453
10,7454078
10,7011286
10,11328292
10,6752969
10,9503376
10,7138457
10,6460922
10,7255222
10,7662867
10,6298501
10,6532070
10,12348198
10,6188590
10,6238136
10,6533399
10,9759373
10,7205332
10,6358119
10,6846486
10,7579904
10,6579277
10,6349262
10,6653679
10,8512034
10,6824320
10,6360550
10,6925440
10,8551035
10,7369125
10,7222445
10,6876820
10,11769386
10,7086938
10,6687868
10,7267921
10,7444581
10,7091488
10,7244793
10,6654132
10,6349030
10,8660962
10,7310795
10,6060383
10,6119770
10,6490047
10,7141816
10,6968633
10,6233749
10,6560947
10,10248125
10,7065502
10,6430582
10,6742759
10,8235112
10,8815449
10,6901822
10,6605698
10,7457891
10,7063423
10,6188704
10,7341520
10,10157616
10,6731649
10,6267854
10,6506041
10,15938612
10,6341507
10,6695706
10,13496447
10,6351779
10,6361949
10,7916535
10,7856601
10,7414661
10,7575495
10,8646317
10,6578633
10,9968185
10,6944334
10,6270232
10,7121847
10,9931264
10,7000551
